INSTANCE_ID,MEDIAN_MEASURED_RUNLENGTH,MEDIAN_MEASURED_RUNTIME,MEDIAN_COMPUTED_RUNTIME,capped,Solution,NOISE,RANDOM_WALK_PROB,nvars,nclauses,vars_clauses_ratio,VCG_VAR_min,VCG_VAR_max,VCG_VAR_entropy,VCG_CLAUSE_mean,VCG_CLAUSE_coeff_variation,VCG_CLAUSE_max,VCG_CLAUSE_entropy,POSNEG_RATIO_CLAUSE_mean,POSNEG_RATIO_VAR_stdev,POSNEG_RATIO_VAR_max,BINARY_PLUS,TRINARY_PLUS,HORNY_VAR_coeff_variation,HORNY_VAR_min,HORNY_VAR_max,HORNY_VAR_entropy,horn_clauses_fraction,VG_mean,VG_coeff_variation,VG_min,vars_reduced_depth_4,vars_reduced_depth_16,vars_reduced_depth_64,saps_BestSolution_Mean,saps_BestSolution_CoeffVariance,saps_BestStep_Mean,saps_BestStep_CoeffVariance,saps_AvgImproveToBest_Mean,saps_AvgImproveToBest_CoeffVariance,saps_FirstLMRatio_Mean,saps_FirstLMRatio_CoeffVariance,saps_BestCV_Mean,gsat_BestSolution_Mean,gsat_BestSolution_CoeffVariance,gsat_BestStep_Mean,gsat_BestStep_CoeffVariance,gsat_AvgImproveToBest_CoeffVariance,gsat_BestCV_Mean,lobjois_mean_depth_over_vars,lobjois_log_num_nodes_over_vars
152275,8575.5,0.01,0.00630538,0,1,50,0.01,400,1651,0.242277408,0.001817081,0.018776499,2.65159581,0.0075,0,0.0075,0,0.498485766,0.165128686,0.777777778,0,1,0.401076495,0,0.009085403,2.25375561,0.486977589,0.014582072,0.288148428,0.003634161,0,0.0025,0.33,11.5232,0.364655893,220.7114,0.224647446,0.921986337,0.206725078,0.85074399,0.039823124,0.360440712,9.9831,0.315992575,602.6461,0.354393173,0.383026095,0.391179439,0.333220333,0.585763032
152276,1838.5,0,0.00139329,0,1,50,0.01,400,1565,0.255591054,0.001916933,0.015335463,2.60676995,0.0075,0,0.0075,0,0.502449414,0.193657632,1,0,1,0.407356941,0.000638978,0.009584665,2.26588088,0.506709265,0.014539936,0.285160828,0.003833866,0,0.0025,0.16,9.1831,0.443629784,216.6062,0.232289301,0.902713671,0.218071612,0.85432431,0.039058866,0.388494983,8.3964,0.350249945,589.5242,0.355743301,0.388117474,0.403413837,0.346216833,0.64679506
152277,52168,0.04,0.0379959,0,1,50,0.01,400,1696,0.235849057,0.002948113,0.014740566,2.62430399,0.0075,0,0.0075,0,0.496069182,0.185195091,0.818181818,0,1,0.393879693,0,0.009433962,2.29200042,0.5,0.014478184,0.269145013,0.005896226,0,0.06,0.2,12.9253,0.325449264,216.5215,0.230899927,0.961648034,0.211658125,0.861041722,0.038071523,0.332673579,11.0003,0.289238957,598.0862,0.35604477,0.385535932,0.367986775,0.330832667,0.615318569
152279,3480,0,0.00268958,0,1,50,0.01,400,1560,0.256410256,0.002564103,0.014102564,2.53169353,0.0075,0,0.0075,0,0.495726496,0.191584324,1,0,1,0.354479969,0.000641026,0.008333333,2.16570426,0.522435897,0.0145,0.266320424,0.005128205,0,0.005,0.2925,10.2154,0.380117694,210.4656,0.231236255,0.919771381,0.212663815,0.85606032,0.039013882,0.366898478,8.9928,0.319184343,578.0945,0.359169225,0.389034591,0.3921111,0.354108083,0.641135545
152280,377,0,0.000319641,0,1,50,0.01,400,1377,0.290486565,0.002904866,0.015976761,2.51667057,0.0075,0,0.0075,0,0.496489954,0.19896222,1,0,1,0.410879157,0.000726216,0.010893246,2.14848858,0.509803922,0.014607843,0.290718413,0.005809731,0.0025,0.01,0.2375,2.3961,1.02605819,206.8295,0.202788071,0.852519381,0.20210598,0.855343497,0.036384032,0.556069501,3.7461,0.552520719,517.9473,0.34358585,0.375615764,0.495976655,0.39950375,0.969280719
152283,10808.5,0.01,0.0080816,0,1,50,0.01,400,1609,0.248601616,0.001243008,0.015537601,2.66285424,0.0075,0,0.0075,0,0.504454112,0.182663661,1,0,1,0.399681879,0.000621504,0.008079553,2.25868552,0.4922312,0.014568055,0.289824325,0.002486016,0,0,0.1475,12.4925,0.334915579,215.2701,0.230586691,0.917070444,0.213423674,0.852600456,0.04019035,0.339178095,10.8215,0.293362775,598.3136,0.355931652,0.386063603,0.370089413,0.334740167,0.637819419
152284,11928.5,0.01,0.00883448,0,1,50,0.01,400,1593,0.251098556,0.000627746,0.01569366,2.64385698,0.0075,0,0.0075,0,0.491106926,0.188809125,1,0,1,0.422734069,0,0.010043942,2.27890736,0.485875706,0.014522913,0.289206734,0.001255493,0,0.01,0.1325,11.6118,0.327664934,210.5768,0.228511059,0.93060221,0.210654787,0.859747535,0.03797055,0.342248048,10.0868,0.290252244,586.2501,0.358503704,0.389263061,0.372242692,0.3384105,0.62784004
152286,7061.5,0.01,0.00526915,0,1,50,0.01,400,1581,0.253004428,0.002530044,0.014547755,2.61541544,0.0075,0,0.0075,0,0.48935273,0.179304078,1,0,1,0.415076921,0,0.008855155,2.25135194,0.480075901,0.014611006,0.283475421,0.005060089,0,0.0225,0.2125,11.588,0.349467476,214.0083,0.231927704,0.910624206,0.21335706,0.855125119,0.039325784,0.346628317,9.8454,0.305812658,599.0527,0.349074425,0.382718857,0.380044075,0.346263833,0.645319355
152287,14281.5,0.01,0.010645,0,1,50,0.01,400,1658,0.241254524,0.002412545,0.01628468,2.63897163,0.0075,0,0.0075,0,0.499798955,0.174776743,1,0,1,0.395451512,0,0.009047045,2.28503891,0.496984318,0.014559711,0.277471579,0.00482509,0,0.0125,0.4125,12.1713,0.351731256,218.9858,0.229453037,0.933248193,0.213433161,0.853228626,0.039605417,0.348950052,10.3985,0.305681883,606.7851,0.354905999,0.380784364,0.382195054,0.33536675,0.620433741
152288,443,0,0.000358463,0,1,50,0.01,400,1373,0.291332848,0.001456664,0.015294975,2.56496609,0.0075,0,0.0075,0,0.490167516,0.211793359,1,0,1,0.417299218,0,0.009468318,2.1198336,0.489439184,0.014679534,0.309792855,0.002913328,0,0.01,0.2275,3.2395,0.878640935,209.0813,0.212338399,0.840380478,0.209981359,0.853124182,0.036899912,0.525627157,4.4078,0.515251682,535.3595,0.350540868,0.386780807,0.475245996,0.396807333,0.965318313
