INSTANCE_ID,MEDIAN_MEASURED_RUNLENGTH,MEDIAN_MEASURED_RUNTIME,MEDIAN_COMPUTED_RUNTIME,capped,Solution,NOISE,RANDOM_WALK_PROB,nvars,nclauses,vars_clauses_ratio,VCG_VAR_min,VCG_VAR_max,VCG_VAR_entropy,VCG_CLAUSE_mean,VCG_CLAUSE_coeff_variation,VCG_CLAUSE_max,VCG_CLAUSE_entropy,POSNEG_RATIO_CLAUSE_mean,POSNEG_RATIO_VAR_stdev,POSNEG_RATIO_VAR_max,BINARY_PLUS,TRINARY_PLUS,HORNY_VAR_coeff_variation,HORNY_VAR_min,HORNY_VAR_max,HORNY_VAR_entropy,horn_clauses_fraction,VG_mean,VG_coeff_variation,VG_min,vars_reduced_depth_4,vars_reduced_depth_16,vars_reduced_depth_64,saps_BestSolution_Mean,saps_BestSolution_CoeffVariance,saps_BestStep_Mean,saps_BestStep_CoeffVariance,saps_AvgImproveToBest_Mean,saps_AvgImproveToBest_CoeffVariance,saps_FirstLMRatio_Mean,saps_FirstLMRatio_CoeffVariance,saps_BestCV_Mean,gsat_BestSolution_Mean,gsat_BestSolution_CoeffVariance,gsat_BestStep_Mean,gsat_BestStep_CoeffVariance,gsat_AvgImproveToBest_CoeffVariance,gsat_BestCV_Mean,lobjois_mean_depth_over_vars,lobjois_log_num_nodes_over_vars
5150638,7351.5,0.01,0.00555526,0,1,50,0.01,700,2800,0.25,0.001428571,0.008928571,2.63786834,0.004285714,0,0.004285714,0,0.506190476,0.188636981,1,0,1,0.410197619,0,0.005,2.27333082,0.489285714,0.008420408,0.283783647,0.002857143,0,0.002857143,0.281428571,14.7324,0.375154084,430.0044,0.227400625,0.817482633,0.217342167,0.850917483,0.029891603,0.393499595,12.8471,0.284777097,1367.4966,0.327357557,0.352468132,0.418920933,0.322189381,0.564773783
5150506,54464.5,0.04,0.0400651,0,1,50,0.01,500,2000,0.25,0.001,0.0115,2.66550027,0.006,0,0.006,0,0.508666667,0.182761615,1,0,1,0.416897022,0.0005,0.0075,2.291433,0.495,0.011698,0.289600104,0.002,0,0.004,0.088,15.9994,0.282347656,274.2508,0.228256695,0.89347941,0.212611637,0.854263326,0.035566274,0.325144226,13.3899,0.251876245,835.0185,0.342317347,0.377898481,0.364953609,0.327359,0.59659546
5149541,22069,0.035,0.0260509,0,1,50,0.01,200,1978,0.101112235,0.011627907,0.029828109,3.11016579,0.02,0,0.02,0,0.393326593,0.104486898,0.515151515,0,0,0.279580528,0.001516684,0.013144591,2.62280204,0.320525784,0.045131446,0.115188245,0.031850354,0,0,0.21,10.9382,0.294074584,93.3888,0.232660713,1.26055662,0.215789765,0.865233037,0.053884209,0.288443096,9.1209,0.304381165,194.9075,0.410678953,0.422134776,0.332062138,0.4618895,0.672739485
5150770,38216.5,0.035,0.0292473,0,1,50,0.01,900,3600,0.25,0.001388889,0.006666667,2.59736562,0.003333333,0,0.003333333,0,0.497407407,0.184785171,1,0,1,0.400075504,0,0.004444444,2.28246855,0.504166667,0.006588272,0.274039148,0.002777778,0,0.005555556,0.062222222,22.1404,0.297729992,568.4732,0.226837188,0.788592264,0.217746523,0.850122225,0.027000338,0.36361074,18.328,0.236834501,2029.877,0.311049366,0.338520787,0.402575926,0.310277037,0.530143038
5150639,9780,0.01,0.0073446,0,1,50,0.01,700,2800,0.25,0.001071429,0.008928571,2.69090771,0.004285714,0,0.004285714,0,0.509047619,0.191136716,1,0,1,0.43331018,0,0.005714286,2.34161492,0.493928571,0.008443878,0.299619301,0.002142857,0,0.001428571,0.105714286,14.605,0.394892151,433.7105,0.228170485,0.810857883,0.21839844,0.848619773,0.03073071,0.397713599,13.1322,0.292182836,1389.7209,0.324129457,0.350922806,0.417009016,0.315734333,0.598753324
5150507,2924.5,0,0.00219585,0,1,50,0.01,500,2000,0.25,0.0015,0.011,2.60773351,0.006,0,0.006,0,0.502,0.17767995,1,0,1,0.402070573,0,0.007,2.26017379,0.4915,0.011696,0.274006086,0.003,0,0,0.162,12.0251,0.419990501,288.3254,0.233705867,0.865480818,0.220731073,0.847590787,0.036508081,0.384403156,10.6363,0.326876435,843.7427,0.345881905,0.370951548,0.406417078,0.330309533,0.67225465
5149410,33544.5,0.04,0.0441323,0,1,50,0.01,155,1531,0.101241019,0.016329197,0.037230568,2.99114244,0.025806452,0,0.025806452,0,0.37459177,0.095390875,0.470588235,0,0,0.298624192,0.001959504,0.014369693,2.61085903,0.299150882,0.053998019,0.110880961,0.037230568,0,0.012903226,0.219354839,10.5029,0.29237208,68.136,0.240524254,1.30833392,0.224513821,0.865513473,0.063477521,0.260494843,8.8025,0.300696835,132.6083,0.427199267,0.430823129,0.304540953,0.473550753,0.69365767
5149542,83658,0.11,0.112486,0,1,50,0.01,200,1978,0.101112235,0.011627907,0.03033367,3.15989332,0.02,0,0.02,0,0.358948433,0.096079678,0.466666667,0,0,0.264896456,0.002022245,0.010616785,2.49697966,0.290697674,0.045338726,0.118522437,0.029828109,0,0,0.19,12.135,0.283194203,93.4793,0.238714019,1.25082352,0.221267078,0.86235454,0.056682858,0.272323653,10.1651,0.289784991,194.2732,0.414135617,0.42442576,0.315043611,0.457978833,0.657186922
5150771,9171.5,0.01,0.00675802,0,1,50,0.01,900,3600,0.25,0.000555556,0.006944444,2.65673699,0.003333333,0,0.003333333,0,0.498148148,0.188734445,1,0,1,0.411137557,0,0.003888889,2.28337983,0.488888889,0.006582099,0.290573348,0.001111111,0,0.011111111,0.101111111,19.3518,0.359860904,585.4168,0.230925526,0.773250875,0.223146297,0.847223862,0.027702897,0.3892924,16.6896,0.264429948,2040.6457,0.313722893,0.337051065,0.417693144,0.307995481,0.556808335
5150508,3855,0,0.00289765,0,1,50,0.01,500,2000,0.25,0.0025,0.0115,2.63734659,0.006,0,0.006,0,0.503,0.188321497,1,0,1,0.43188142,0.0005,0.0075,2.30897403,0.489,0.011716,0.293351748,0.005,0,0.012,0.278,12.5473,0.368685126,280.8203,0.232459158,0.886684395,0.215112781,0.854777703,0.035094117,0.368526535,11.0124,0.29656861,826.289,0.341205803,0.368774538,0.394103083,0.331640333,0.586259553
