medianrunlength,medianruntime,adjusted_medianruntime,capped,Solution,novnoise,nvars,nclauses,vars-clauses-ratio,VCG-VAR-min,VCG-VAR-max,VCG-VAR-entropy,VCG-CLAUSE-mean,VCG-CLAUSE-coeff-variation,VCG-CLAUSE-max,VCG-CLAUSE-entropy,POSNEG-RATIO-CLAUSE-mean,POSNEG-RATIO-VAR-stdev,POSNEG-RATIO-VAR-max,BINARY+,TRINARY+,HORNY-VAR-coeff-variation,HORNY-VAR-min,HORNY-VAR-max,HORNY-VAR-entropy,horn-clauses-fraction,VG-mean,VG-coeff-variation,VG-min,vars-reduced-depth-4,vars-reduced-depth-16,vars-reduced-depth-64,saps_BestSolution_Mean,saps_BestSolution_CoeffVariance,saps_BestStep_Mean,saps_BestStep_CoeffVariance,saps_AvgImproveToBest_Mean,saps_AvgImproveToBest_CoeffVariance,saps_FirstLMRatio_Mean,saps_FirstLMRatio_CoeffVariance,saps_BestCV_Mean,gsat_BestSolution_Mean,gsat_BestSolution_CoeffVariance,gsat_BestStep_Mean,gsat_BestStep_CoeffVariance,gsat_AvgImproveToBest_CoeffVariance,gsat_BestCV_Mean,lobjois-mean-depth-over-vars,lobjois-log-num-nodes-over-vars
424036908,246,294.1371281,0,1,10,900,3600,0.25,0.000833333,0.006944444,2.65898329,0.003333333,0,0.003333333,0,0.49462963,0.184663025,1,0,1,0.421582667,0,0.004444444,2.30004992,0.490277778,0.006574074,0.2914302,0.001666667,0,0.004444444,0.122222222,22.716707,0.285827564,559.42615,0.220910702,0.798951103,0.21219383,0.853017598,0.026853092,0.356432933,18.9583333,0.215101619,1935.94792,0.328173512,0.366437309,0.392776644,0.306330881,0.512459197
459371,0.31,0.324432878,0,1,20,900,3600,0.25,0.000833333,0.006944444,2.65898329,0.003333333,0,0.003333333,0,0.49462963,0.184663025,1,0,1,0.421582667,0,0.004444444,2.30004992,0.490277778,0.006574074,0.2914302,0.001666667,0,0.004444444,0.122222222,22.716707,0.285827564,559.42615,0.220910702,0.798951103,0.21219383,0.853017598,0.026853092,0.356432933,18.9583333,0.215101619,1935.94792,0.328173512,0.366437309,0.392776644,0.306330881,0.512459197
139380,0.1,0.094248209,0,1,30,900,3600,0.25,0.000833333,0.006944444,2.65898329,0.003333333,0,0.003333333,0,0.49462963,0.184663025,1,0,1,0.421582667,0,0.004444444,2.30004992,0.490277778,0.006574074,0.2914302,0.001666667,0,0.004444444,0.122222222,22.716707,0.285827564,559.42615,0.220910702,0.798951103,0.21219383,0.853017598,0.026853092,0.356432933,18.9583333,0.215101619,1935.94792,0.328173512,0.366437309,0.392776644,0.306330881,0.512459197
72981,0.05,0.050695684,0,1,40,900,3600,0.25,0.000833333,0.006944444,2.65898329,0.003333333,0,0.003333333,0,0.49462963,0.184663025,1,0,1,0.421582667,0,0.004444444,2.30004992,0.490277778,0.006574074,0.2914302,0.001666667,0,0.004444444,0.122222222,22.716707,0.285827564,559.42615,0.220910702,0.798951103,0.21219383,0.853017598,0.026853092,0.356432933,18.9583333,0.215101619,1935.94792,0.328173512,0.366437309,0.392776644,0.306330881,0.512459197
30273,0.02,0.023273925,0,1,50,900,3600,0.25,0.000833333,0.006944444,2.65898329,0.003333333,0,0.003333333,0,0.49462963,0.184663025,1,0,1,0.421582667,0,0.004444444,2.30004992,0.490277778,0.006574074,0.2914302,0.001666667,0,0.004444444,0.122222222,22.716707,0.285827564,559.42615,0.220910702,0.798951103,0.21219383,0.853017598,0.026853092,0.356432933,18.9583333,0.215101619,1935.94792,0.328173512,0.366437309,0.392776644,0.306330881,0.512459197
35932,0.03,0.028549318,0,1,60,900,3600,0.25,0.000833333,0.006944444,2.65898329,0.003333333,0,0.003333333,0,0.49462963,0.184663025,1,0,1,0.421582667,0,0.004444444,2.30004992,0.490277778,0.006574074,0.2914302,0.001666667,0,0.004444444,0.122222222,22.716707,0.285827564,559.42615,0.220910702,0.798951103,0.21219383,0.853017598,0.026853092,0.356432933,18.9583333,0.215101619,1935.94792,0.328173512,0.366437309,0.392776644,0.306330881,0.512459197
787424238,537.74,545.2789452,0,1,10,600,2550,0.235294118,0.001176471,0.010588235,2.66582155,0.005,0,0.005,0,0.499869281,0.172435056,0.857142857,0,1,0.391527602,0,0.00627451,2.28898954,0.492156863,0.009811765,0.274530007,0.002352941,0,0.003333333,0.255,20.9948823,0.479373575,348.218014,0.231310871,0.900270901,0.242904565,0.855815072,0.031827553,0.317307083,16.9761905,0.213320063,1087.07619,0.322868274,0.300722298,0.361857665,0.307945909,0.529146258
1409556590,900.01,994.8924014,1,1,20,600,2550,0.235294118,0.001176471,0.010588235,2.66582155,0.005,0,0.005,0,0.499869281,0.172435056,0.857142857,0,1,0.391527602,0,0.00627451,2.28898954,0.492156863,0.009811765,0.274530007,0.002352941,0,0.003333333,0.255,20.9948823,0.479373575,348.218014,0.231310871,0.900270901,0.242904565,0.855815072,0.031827553,0.317307083,16.9761905,0.213320063,1087.07619,0.322868274,0.300722298,0.361857665,0.307945909,0.529146258
1279912215,827.78,912.605743,0,1,30,600,2550,0.235294118,0.001176471,0.010588235,2.66582155,0.005,0,0.005,0,0.499869281,0.172435056,0.857142857,0,1,0.391527602,0,0.00627451,2.28898954,0.492156863,0.009811765,0.274530007,0.002352941,0,0.003333333,0.255,20.9948823,0.479373575,348.218014,0.231310871,0.900270901,0.242904565,0.855815072,0.031827553,0.317307083,16.9761905,0.213320063,1087.07619,0.322868274,0.300722298,0.361857665,0.307945909,0.529146258
100466362,65.6,77.1211084,0,1,40,600,2550,0.235294118,0.001176471,0.010588235,2.66582155,0.005,0,0.005,0,0.499869281,0.172435056,0.857142857,0,1,0.391527602,0,0.00627451,2.28898954,0.492156863,0.009811765,0.274530007,0.002352941,0,0.003333333,0.255,20.9948823,0.479373575,348.218014,0.231310871,0.900270901,0.242904565,0.855815072,0.031827553,0.317307083,16.9761905,0.213320063,1087.07619,0.322868274,0.300722298,0.361857665,0.307945909,0.529146258
